Date,Wilshire5000,BofAUSCorporate
1987-07-31,7.235,350.0718182
1987-08-31,7.666666667,347.7680952
1987-09-30,7.463809524,340.0014286
1987-10-31,6.569090909,339.1286957
1987-11-30,5.6995,351.624
1987-12-31,5.629545455,353.5813636
1988-01-31,5.9115,362.3419048
1988-02-29,6.1325,374.289
1988-03-31,6.383478261,375.2173913
1988-04-30,6.3455,371.6052381
1988-05-31,6.229047619,368.2238095
1988-06-30,6.582272727,373.6718182
1988-07-31,6.591,374.8266667
1988-08-31,6.474347826,376.4930435
1988-09-30,6.586666667,385.1266667
1988-10-31,6.792857143,390.8166667
1988-11-30,6.641904762,391.4214286
1988-12-31,6.78,392.4590909
1989-01-31,7.031904762,394.8247619
1989-02-28,7.282631579,396.5373684
1989-03-31,7.292727273,396.6331818
1989-04-30,7.5325,401.2683333
1989-05-31,7.844545455,409.0863636
1989-06-30,8.113636364,425.717619
1989-07-31,8.297,433.252
1989-08-31,8.673478261,434.0682609
1989-09-30,8.7275,435.5509524
1989-10-31,8.732727273,441.4236364
1989-11-30,8.557142857,444.6809524
1989-12-31,8.724,447.6609524
1990-01-31,8.515454545,444.7281818
1990-02-28,8.282631579,442.4673684
1990-03-31,8.5,443.5252174
1990-04-30,8.468,443.4435
1990-05-31,8.755909091,446.9168182
1990-06-30,9.045238095,456.7259091
1990-07-31,9.031428571,460.4171429
1990-08-31,8.279130435,458.5278261
1990-09-30,7.897894737,458.3535
1990-10-31,7.619130435,462.563913
1990-11-30,7.841428571,469.9366667
1990-12-31,8.235,479.3005
1991-01-31,8.2,482.9786364
1991-02-28,9.214210526,493.1589474
1991-03-31,9.545,493.5557143
1991-04-30,9.806818182,502.33
1991-05-31,9.775909091,507.3104545
1991-06-30,9.819,506.5919048
1991-07-31,9.874090909,511.4172727
1991-08-31,10.17363636,525.5930435
1991-09-30,10.1765,534.6285
1991-10-31,10.23652174,541.0569565
1991-11-30,10.287,548.277619
1991-12-31,10.37,559.4409524
1992-01-31,11.21818182,564.73
1992-02-29,11.23947368,562.5525
1992-03-31,11.10636364,562.1995455
1992-04-30,10.98095238,569.4428571
1992-05-31,11.171,576.3961905
1992-06-30,10.98409091,584.3277273
1992-07-31,11.15954545,600.3068182
1992-08-31,11.2652381,610.1528571
1992-09-30,11.32238095,617.547619
1992-10-31,11.21454545,613.883913
1992-11-30,11.643,610.038
1992-12-31,12.04227273,616.6709091
1993-01-31,12.156,626.3285714
1993-02-28,12.32105263,639.6335
1993-03-31,12.56,652.0647826
1993-04-30,12.3647619,656.7347619
1993-05-31,12.5065,658.6719048
1993-06-30,12.61818182,665.3068182
1993-07-31,12.70380952,675.1540909
1993-08-31,12.95636364,685.4695455
1993-09-30,13.17142857,699.8457143
1993-10-31,13.37380952,703.4422727
1993-11-30,13.30857143,694.1571429
1993-12-31,13.39772727,697.5877273
1994-01-31,13.65761905,703.3209524
1994-02-28,13.68368421,699.8863158
1994-03-31,13.55347826,684.6513043
1994-04-30,13.01631579,670.2305
1994-05-31,13.09238095,666.1233333
1994-06-30,13.19363636,672.6818182
1994-07-31,13.1015,671.0871429
1994-08-31,13.5026087,677.4021739
1994-09-30,13.66619048,673.7871429
1994-10-31,13.58666667,668.4871429
1994-11-30,13.51238095,665.1990476
1994-12-31,13.29666667,673.3418182
1995-01-31,13.65238095,678.8142857
1995-02-28,14.15526316,694.3973684
1995-03-31,14.47652174,709.2482609
1995-04-30,14.88578947,720.167
1995-05-31,15.34954545,742.5831818
1995-06-30,15.87,764.0472727
1995-07-31,16.509,764.0385
1995-08-31,16.74130435,760.4778261
1995-09-30,17.4165,777.1161905
1995-10-31,17.41681818,788.8113636
1995-11-30,17.78380952,797.6161905
1995-12-31,18.295,811.7571429
1996-01-31,18.275,818.8818182
1996-02-29,19.337,816.81
1996-03-31,19.39809524,800.6531818
1996-04-30,19.57285714,794.7595455
1996-05-31,20.19590909,792.7490909
1996-06-30,20.328,791.8971429
1996-07-31,19.40272727,798.9481818
1996-08-31,19.94681818,813.6265217
1996-09-30,20.4335,809.8845
1996-10-31,21.1673913,829.2952174
1996-11-30,21.977,850.3595238
1996-12-31,22.26714286,850.4671429
1997-01-31,22.99818182,843.2759091
1997-02-28,23.74578947,856.1121053
1997-03-31,23.492,847.5865
1997-04-30,22.57,843.4654545
1997-05-31,24.52238095,857.6713636
1997-06-30,25.90809524,873.1652381
1997-07-31,27.38863636,893.3854545
1997-08-31,27.71095238,893.8245455
1997-09-30,28.37047619,903.1066667
1997-10-31,28.93086957,916.2891304
1997-11-30,28.40736842,922.9271429
1997-12-31,28.95272727,930.96
1998-01-31,28.97,947.6168182
1998-02-28,30.80315789,946.9109524
1998-03-31,32.41818182,948.4981818
1998-04-30,33.5252381,955.527619
1998-05-31,33.316,960.6636364
1998-06-30,33.01909091,973.5368182
1998-07-31,34.33318182,977.85
1998-08-31,31.6252381,984.4795238
1998-09-30,29.71666667,990.3086364
1998-10-31,29.85545455,1000.633478
1998-11-30,33.4,991.2385714
1998-12-31,34.68727273,1015.807273
1999-01-31,36.70736842,1018.608571
1999-02-28,36.43631579,1010.46619
1999-03-31,37.32130435,1008.230435
1999-04-30,39.00428571,1018.585909
1999-05-31,39.234,1005.664286
1999-06-30,38.93863636,988.2118182
1999-07-31,40.64047619,997.0808696
1999-08-31,38.90272727,987.9795455
1999-09-30,38.78095238,992.3531818
1999-10-31,38.30380952,989.9172727
1999-11-30,41.38857143,1004.352727
1999-12-31,43.12772727,1001.323913
2000-01-31,43.6645,992.5595238
2000-02-29,43.4925,1002.363333
2000-03-31,45.7026087,1008.325652
2000-04-30,44.04368421,1014.294
2000-05-31,42.62545455,990.6047826
2000-06-30,44.36318182,1012.085909
2000-07-31,44.9115,1026.317143
2000-08-31,45.12130435,1041.294348
2000-09-30,45.099,1047.870909
2000-10-31,42.29863636,1055.827727
2000-11-30,41.5447619,1058.913182
2000-12-31,39.975,1081.674762
2001-01-31,40.26380952,1102.289545
2001-02-28,39.41736842,1118.2795
2001-03-31,35.70454545,1135.408261
2001-04-30,35.759,1131.094
2001-05-31,38.50454545,1137.175217
2001-06-30,37.6947619,1153.920455
2001-07-31,36.72142857,1163.414091
2001-08-31,35.9173913,1184.341739
2001-09-30,31.76266667,1190.176667
2001-10-31,32.69565217,1204.919565
2001-11-30,34.38714286,1211.354545
2001-12-31,35.1815,1198.475
2002-01-31,35.22428571,1213.242273
2002-02-28,34.08894737,1215.0535
2002-03-31,35.841,1202.949524
2002-04-30,34.88,1212.876818
2002-05-31,34.02727273,1215.523913
2002-06-30,31.9865,1235.713333
2002-07-31,28.53136364,1234.166522
2002-08-31,28.77409091,1246.720435
2002-09-30,27.5225,1276.544286
2002-10-31,26.99652174,1260.166087
2002-11-30,28.792,1285.508182
2002-12-31,28.5852381,1308.384286
2003-01-31,28.50571429,1324.679091
2003-02-28,26.74473684,1343.7215
2003-03-31,27.06380952,1356.488571
2003-04-30,28.48666667,1366.996667
2003-05-31,30.16952381,1416.055217
2003-06-30,31.99952381,1440.858571
2003-07-31,32.39045455,1406.513913
2003-08-31,32.42714286,1374.831818
2003-09-30,33.61857143,1400.100455
2003-10-31,34.36391304,1411.03913
2003-11-30,34.93789474,1418.170476
2003-12-31,35.93272727,1432.238182
2004-01-31,37.7585,1453.823182
2004-02-29,38.14578947,1462.348095
2004-03-31,37.67956522,1485.402609
2004-04-30,38.04857143,1452.004762
2004-05-31,36.8865,1423.698095
2004-06-30,37.97809524,1426.317727
2004-07-31,37.1347619,1450.434783
2004-08-31,36.49272727,1472.207727
2004-09-30,37.67,1492.724545
2004-10-31,37.85666667,1502.988636
2004-11-30,39.7052381,1503.455
2004-12-31,40.97227273,1511.547727
2005-01-31,40.34,1519.235714
2005-02-28,41.12421053,1531.408
2005-03-31,41.05954545,1508.815
2005-04-30,40.03380952,1514.068636
2005-05-31,40.5847619,1526.767273
2005-06-30,41.73363636,1547.707727
2005-07-31,42.735,1541.775909
2005-08-31,42.86652174,1542.629565
2005-09-30,43.05380952,1550.342727
2005-10-31,41.85714286,1530.930476
2005-11-30,43.59,1526.393182
2005-12-31,44.5947619,1537.5
2006-01-31,45.4655,1548.825714
2006-02-28,45.54473684,1543.517
2006-03-31,46.2473913,1538.347391
2006-04-30,46.78105263,1523.8885
2006-05-31,46.32590909,1523.191739
2006-06-30,44.87954545,1524.194091
2006-07-31,45.0935,1532.780476
2006-08-31,45.94434783,1559.41913
2006-09-30,47.111,1581.891818
2006-10-31,48.82681818,1589.332273
2006-11-30,49.95428571,1613.138182
2006-12-31,51.0895,1623.18
2007-01-31,51.4445,1616.036818
2007-02-28,52.52947368,1629.5225
2007-03-31,51.26772727,1646.146957
2007-04-30,53.391,1641.752
2007-05-31,55.03409091,1645.143636
2007-06-30,55.34047619,1619.488182
2007-07-31,55.60809524,1626.956818
2007-08-31,53.06695652,1637.414783
2007-09-30,54.70421053,1652.19619
2007-10-31,56.46956522,1670.488261
2007-11-30,53.72666667,1686.790909
2007-12-31,54.346,1677.9715
2008-01-31,50.59619048,1706.72
2008-02-29,50.071,1698.756667
2008-03-31,48.589,1688.3195
2008-04-30,50.685,1685.947727
2008-05-31,52.15904762,1695.932174
2008-06-30,50.38333333,1676.942857
2008-07-31,47.20363636,1664.563913
2008-08-31,48.2647619,1670.037273
2008-09-30,45.94142857,1631.562273
2008-10-31,36.22086957,1477.168696
2008-11-30,32.82736842,1476.85381
2008-12-31,32.71727273,1536.670455
2009-01-31,32.59,1588.138636
2009-02-28,30.44526316,1581.569524
2009-03-31,28.70454545,1540.550909
2009-04-30,32.39142857,1573.119524
2009-05-31,34.581,1637.321818
2009-06-30,35.62136364,1690.332727
2009-07-31,36.07045455,1741.476522
2009-08-31,39.08952381,1800.885238
2009-09-30,40.56619048,1843.083182
2009-10-31,41.47363636,1865.590435
2009-11-30,42.1125,1884.53619
2009-12-31,43.165,1890.590455
2010-01-31,43.89315789,1913.257619
2010-02-28,42.69368421,1913.277143
2010-03-31,45.43695652,1932.602609
2010-04-30,47.41904762,1949.580476
2010-05-31,44.654,1967.892857
2010-06-30,43.04136364,1969.855909
2010-07-31,42.86142857,2013.766957
2010-08-31,43.20727273,2065.521818
2010-09-30,44.76142857,2077.780909
2010-10-31,46.91619048,2102.884091
2010-11-30,48.23095238,2089.729091
2010-12-31,50.23818182,2052.337826
2011-01-31,51.9485,2065.193333
2011-02-28,53.58947368,2061.709
2011-03-31,53.05608696,2086.432609
2011-04-30,54.3315,2098.341429
2011-05-31,54.6,2138.520455
2011-06-30,52.615,2148.165455
2011-07-31,54.3105,2156.282727
2011-08-31,48.29695652,2193.306087
2011-09-30,47.79666667,2193.767727
2011-10-31,49.11904762,2178.720952
2011-11-30,50.08047619,2208.572727
2011-12-31,50.84333333,2202.707727
2012-01-31,53.3605,2232.347619
2012-02-29,55.798,2270.48619
2012-03-31,57.25181818,2274.445217
2012-04-30,57.106,2289.2365
2012-05-31,55.29772727,2308.083478
2012-06-30,54.53,2320.145
2012-07-31,56.14380952,2368.715
2012-08-31,57.89565217,2382.442609
2012-09-30,59.81789474,2402.368095
2012-10-31,59.57238095,2434.832273
2012-11-30,57.97761905,2448.289091
2012-12-31,59.3955,2446.759
2013-01-31,62.12761905,2444.228182
2013-02-28,63.62736842,2436.199
2013-03-31,65.3975,2444.580952
2013-04-30,66.15272727,2478.866364
2013-05-31,69.20454545,2469.908696
2013-06-30,68.4445,2396.502857
2013-07-31,70.89545455,2377.523478
2013-08-31,71.21545455,2368.11619
2013-09-30,72.1655,2366.272381
2013-10-31,73.82695652,2406.61
2013-11-30,76.405,2411.140455
2013-12-31,77.61285714,2412.949048
2014-01-31,78.54285714,2440.040455
2014-02-28,78.49947368,2465.198
2014-03-31,80.74952381,2477.334762
2014-04-30,80.55666667,2502.297619
2014-05-31,81.51714286,2536.724783
2014-06-30,84.24142857,2541.179048
2014-07-31,85.31727273,2555.597391
2014-08-31,84.93761905,2573.577727
2014-09-30,86.26952381,2563.08
2014-10-31,83.74652174,2588.87
2014-11-30,88.60789474,2581.171429
2014-12-31,89.11863636,2586.297727
2015-01-31,88.351,2637.532381
2015-02-28,90.98052632,2635.909048
2015-03-31,91.25409091,2637.187727
2015-04-30,92.10380952,2661.372381
2015-05-31,92.74,2615.562381
2015-06-30,92.54954545,2583.551818
2015-07-31,92.24727273,2585.241304
2015-08-31,89.93857143,2593.554762
2015-09-30,86.02761905,2589.322727
2015-10-31,89.32863636,2609.023913
2015-11-30,91.7945,2594.566667
2015-12-31,90.57409091,2589.293182
2016-01-31,84.39157895,2589.801905
2016-02-29,83.6605,2596.205714
2016-03-31,89.35227273,2637.465455
2016-04-30,92.02571429,2698.538636
2016-05-31,91.86571429,2714.544545
2016-06-30,93.015,2747.050909
2016-07-31,96.1525,2801.118636
2016-08-31,97.74565217,2811.48913
2016-09-30,97.23761905,2807.595455
2016-10-31,96.60952381,2800.969524
2016-11-30,98.11142857,2742.239545
2016-12-31,102.4780952,2714.276364
2017-01-31,103.8755,2744.615238
2017-02-28,106.4347368,2755.5345
2017-03-31,107.9269565,2755.45087
2017-04-30,107.8726316,2792.4965
2017-05-31,109.4845455,2808.22913
2017-06-30,111.4490909,2843.962273
2017-07-31,112.514,2847.615714
2017-08-31,112.5291304,2870.24
2017-09-30,114.6465,2879.696364
2017-10-31,117.9636364,2883.616364
2017-11-30,119.6071429,2888.896364
2017-12-31,123.0985,2900.000952
2018-01-31,128.7733333,2891.656818
2018-02-28,124.9426316,2845.667
2018-03-31,125.4185714,2833.945
2018-04-30,123.4514286,2833.851905
2018-05-31,126.0686364,2812.759565
2018-06-30,129.07,2815.570409
2018-07-31,131.007619,2832.605455
2018-08-31,134.1647826,2851.075652
2018-09-30,136.2757895,2842.260476
2018-10-31,130.2078261,2821.619565
2018-11-30,127.3861905,2806.095455
2018-12-31,119.9631579,2831.1995
2019-01-31,122.4795238,2863.104091
2019-02-28,130.0594737,2912.7085
2019-03-31,132.3514286,2949.241818
2019-04-30,137.0695238,2986.631905
2019-05-31,134.9077273,3014.037826
2019-06-30,136.418,3078.537143
2019-07-31,141.5636364,3120.034348
2019-08-31,136.9177273,3203.27913
2019-09-30,141.046,3202.685238
2019-10-31,140.9052174,3214.323478
2019-11-30,147.1795,3219.779048
2019-12-31,150.8652381,3243.081429
2020-01-31,155.902381,3283.410909
2020-02-29,156.2031579,3339.252381
2020-03-31,125.2872727,3170.067727
2020-04-30,130.0428571,3226.547143
2020-05-31,138.5985,3284.373636
2020-06-30,148.4427273,3381.154091
2020-07-31,153.6531818,3468.981739
2020-08-31,162.9995238,3492.773333
2020-09-30,161.8590476,3479.285909
2020-10-31,165.5895455,3469.404348
2020-11-30,172.876,3509.351429
2020-12-31,182.2863636,3545.868636
2021-01-31,188.5,3530.25
